src,src_port,dst,dst_port,protocol,packet_count,total_bytes,avg_packet_size,flow_duration,avg_ttl
192.168.1.104,51027,34.107.240.12,443,TCP,2,120,60.0,0.019610881805419922,93.0
172.224.56.196,443,192.168.1.104,59291,UDP,49,19192,391.6734693877551,8.15213394165039,57.183673469387756
192.168.1.104,62535,54.192.95.111,443,TCP,7,657,93.85714285714286,7.075572967529297,142.85714285714286
192.168.1.104,58917,212.232.100.12,443,UDP,1518,1487358,979.8142292490119,3.3206279277801514,109.04743083003953
157.240.5.11,443,192.168.1.104,62509,TCP,56,24452,436.64285714285717,1.3071980476379395,60.57142857142857
192.168.1.104,62560,31.13.83.9,443,TCP,3,252,84.0,0.04670596122741699,61.333333333333336
192.168.1.104,62581,212.232.100.84,443,UDP,548,516224,942.014598540146,4.325103998184204,85.28467153284672
157.240.243.35,443,192.168.1.104,60935,UDP,1152,946699,821.7873263888889,6.872941017150879,58.99913194444444
192.168.1.1,53,192.168.1.104,60274,UDP,2,180,90.0,0.01618504524230957,64.0
192.168.1.1,53,192.168.1.104,53199,UDP,2,198,99.0,0.01851797103881836,64.0
157.240.5.12,443,192.168.1.104,62564,TCP,51,9354,183.41176470588235,0.22486495971679688,60.705882352941174
157.240.5.12,443,192.168.1.104,62565,TCP,21,5723,272.5238095238095,0.07829594612121582,60.57142857142857
192.168.1.1,53,192.168.1.104,50043,UDP,2,178,89.0,0.019736051559448242,64.0
192.168.1.1,53,192.168.1.104,61035,UDP,2,172,86.0,0.0200960636138916,64.0
192.168.1.1,53,192.168.1.104,55474,UDP,2,196,98.0,0.021044015884399414,64.0
157.240.5.10,443,192.168.1.104,50656,UDP,27,10466,387.6296296296296,2.7608580589294434,60.629629629629626
192.168.1.104,65453,212.232.100.148,443,UDP,935,797086,852.4983957219251,3.0946080684661865,83.89625668449197
192.168.1.255,15600,192.168.1.41,49510,UDP,1,80,80.0,0.0,64.0
157.240.5.12,443,192.168.1.104,62566,TCP,25,6784,271.36,0.7856409549713135,60.64
157.240.5.12,443,192.168.1.104,62567,TCP,156,46875,300.4807692307692,3.4435338973999023,60.81410256410256
192.168.1.1,53,192.168.1.104,57679,UDP,2,178,89.0,0.017040014266967773,64.0
157.240.5.11,443,192.168.1.104,62568,TCP,138,45666,330.9130434782609,1.489609956741333,61.51449275362319
157.240.5.12,443,192.168.1.104,62561,TCP,8,803,100.375,2.119168996810913,60.0
157.240.5.12,443,192.168.1.104,62558,TCP,3,256,85.33333333333333,0.04845404624938965,61.666666666666664
157.240.5.12,443,192.168.1.104,62559,TCP,3,256,85.33333333333333,0.05386090278625488,61.666666666666664
192.168.1.1,53,192.168.1.104,63148,UDP,2,358,179.0,0.0169830322265625,64.0
192.168.1.1,53,192.168.1.104,61855,UDP,2,312,156.0,0.01637411117553711,64.0
192.168.1.1,53,192.168.1.104,59012,UDP,2,170,85.0,0.017482995986938477,64.0
192.168.1.104,62569,2.20.104.36,443,TCP,20,10616,530.8,0.10311698913574219,59.5
