src,src_port,dst,dst_port,protocol,packet_count,total_bytes,avg_packet_size,flow_duration,avg_ttl
155.54.13.137,54915,155.54.15.255,54915,UDP,20,6100,305.0,19.04597496986389,64.0
155.54.12.205,,224.0.0.251,,,1,46,46.0,0.0,1.0
155.54.12.205,59760,172.224.53.4,443,UDP,433,168473,389.08314087759817,19.36535906791687,57.07621247113164
155.54.15.62,17500,255.255.255.255,17500,UDP,4,904,226.0,0.0007979869842529297,128.0
155.54.15.255,17500,155.54.15.62,17500,UDP,1,226,226.0,0.0,128.0
155.54.13.184,137,155.54.15.255,137,UDP,4,368,92.0,15.668561935424805,64.0
155.54.14.50,57621,155.54.15.255,57621,UDP,1,86,86.0,0.0,64.0
155.54.14.90,49480,155.54.15.255,51007,UDP,5,850,170.0,14.029200077056885,128.0
172.22.76.123,57621,172.22.79.255,57621,UDP,1,86,86.0,0.0,128.0
155.54.1.10,53,155.54.12.205,61472,UDP,2,142,71.0,0.025683879852294922,63.5
155.54.1.10,53,155.54.12.205,57020,UDP,2,158,79.0,0.015830039978027344,63.5
155.54.12.205,63041,162.159.140.229,443,TCP,26,14572,560.4615384615385,0.22318100929260254,60.92307692307692
155.54.1.10,53,155.54.12.205,61523,UDP,2,130,65.0,0.018329858779907227,63.5
155.54.1.10,53,155.54.12.205,49662,UDP,2,146,73.0,0.006937980651855469,63.5
155.54.12.205,63042,172.66.0.227,443,TCP,422,345210,818.0331753554502,3.036102056503296,60.57582938388626
172.22.75.123,57621,172.22.79.255,57621,UDP,1,82,82.0,0.0,64.0
155.54.1.10,53,155.54.12.205,51027,UDP,2,188,94.0,0.0180509090423584,63.5
155.54.1.10,53,155.54.12.205,64971,UDP,2,204,102.0,0.0066220760345458984,63.5
155.54.1.10,53,155.54.12.205,55620,UDP,2,167,83.5,0.018904924392700195,63.5
155.54.1.10,53,155.54.12.205,56595,UDP,2,199,99.5,0.006443023681640625,63.5
155.54.1.10,53,155.54.12.205,49615,UDP,2,155,77.5,0.01865696907043457,63.5
155.54.1.10,53,155.54.12.205,52348,UDP,2,187,93.5,0.006193876266479492,63.5
155.54.1.10,53,155.54.12.205,52635,UDP,2,192,96.0,0.01833200454711914,63.5
155.54.1.10,53,155.54.12.205,64122,UDP,2,224,112.0,0.0057811737060546875,63.5
155.54.1.10,53,155.54.12.205,57456,UDP,2,128,64.0,0.01848006248474121,63.5
155.54.1.10,53,155.54.12.205,58541,UDP,2,188,94.0,0.018311023712158203,63.5
155.54.1.10,53,155.54.12.205,62661,UDP,2,220,110.0,0.005182027816772461,63.5
155.54.1.10,53,155.54.12.205,57296,UDP,2,176,88.0,0.01882195472717285,63.5
155.54.1.10,53,155.54.12.205,58827,UDP,2,136,68.0,0.017749786376953125,63.5
155.54.1.10,53,155.54.12.205,51715,UDP,2,148,74.0,0.019205093383789062,63.5
155.54.1.10,53,155.54.12.205,59778,UDP,2,184,92.0,0.019124984741210938,63.5
155.54.12.205,63043,172.64.151.110,443,TCP,1285,1587131,1235.12140077821,4.677397966384888,59.72373540856031
