time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.457451,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457454,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457458,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.45746,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457462,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457464,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457467,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.45747,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457473,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457475,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457477,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.45748,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457483,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457485,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457488,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.45749,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457492,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457495,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457497,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457499,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457501,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457502,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457504,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457506,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457508,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457511,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457513,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457515,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457518,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.45752,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457523,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.457897,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.460282,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460285,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460288,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460291,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460293,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460295,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460298,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.4603,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.460474,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
